jenis,koridor_no,trayek,jumlah_penumpang,month,month_ts
BRT,1,KORIDOR 1 (BLOK M - KOTA),2686458,2020-01-01,2020-01-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),936927,2020-01-01,2020-01-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1127029,2020-01-01,2020-01-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),784864,2020-01-01,2020-01-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1161894,2020-01-01,2020-01-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1089313,2020-01-01,2020-01-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1109984,2020-01-01,2020-01-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1140845,2020-01-01,2020-01-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1562871,2020-01-01,2020-01-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),872266,2020-01-01,2020-01-01T00:00:00
BRT,11,KORIDOR 11 (PULOGEBANG - KAMPUNG MELAYU),367451,2020-01-01,2020-01-01T00:00:00
BRT,12,KORIDOR 12 (PENJARINGAN - TANJUNG PRIOK),303913,2020-01-01,2020-01-01T00:00:00
BRT,13,KORIDOR 13 (CBD CILEDUG - BLOK M),796166,2020-01-01,2020-01-01T00:00:00
BRT,1,KORIDOR 1 (BLOK M - KOTA),2406938,2020-02-01,2020-02-01T00:00:00
BRT,2,KORIDOR 2 (PULOGADUNG 1 - HARMONI),838832,2020-02-01,2020-02-01T00:00:00
BRT,3,KORIDOR 3 (KALIDERES - PASAR BARU),1047145,2020-02-01,2020-02-01T00:00:00
BRT,4,KORIDOR 4 (PULOGADUNG 2 - DUKUH ATAS 2),711086,2020-02-01,2020-02-01T00:00:00
BRT,5,KORIDOR 5 (KAMPUNG MELAYU - ANCOL),1064985,2020-02-01,2020-02-01T00:00:00
BRT,6,KORIDOR 6 (RAGUNAN - DUKUH ATAS 2),1048174,2020-02-01,2020-02-01T00:00:00
BRT,7,KORIDOR 7 (KAMPUNG RAMBUTAN - KAMPUNG MELAYU),1013562,2020-02-01,2020-02-01T00:00:00
BRT,8,KORIDOR 8 (LEBAK BULUS - HARMONI),1074040,2020-02-01,2020-02-01T00:00:00
BRT,9,KORIDOR 9 (PINANG RANTI - PLUIT),1577635,2020-02-01,2020-02-01T00:00:00
BRT,10,KORIDOR 10 (PGC 2 - PLUIT),804462,2020-02-01,2020-02-01T00:00:00
