koridor,koridor_no,rute_koridor,nama_halte,lokasi_halte,dibangun_tahun,keterangan,lat,long
Koridor 1,1,Blok M - Kota,TERMINAL BLOK M,TERMINAL BLOK M,2003,PELICAN,-6.2433002,106.7932914
Koridor 1,1,Blok M - Kota,MESJID AL-AZHAR,JL. SISINGAMANGARAJA,2003,"JPO BETON / EKSISTING ( RAMP,TANGGA )",-6.2347672,106.796415
Koridor 1,1,Blok M - Kota,BUNDARAN SENAYAN,JL. JEND SUDIRMAN,2003,JPO BAJA / EKSISTING ( RAMP SEMUA ),-6.2277647,106.7988413
Koridor 1,1,Blok M - Kota,GELORA,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ),-6.2242119,106.8036165
Koridor 1,1,Blok M - Kota,POLDA,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ),-6.2210711,106.8080687
Koridor 1,1,Blok M - Kota,BENHIL,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ),-6.21691,106.8130302
Koridor 1,1,Blok M - Kota,KARET,JL. JEND SUDIRMAN,2003,JPO BAJA / PEMB BARU SPONSOR ( RAMP SEMUA ),-6.2124126,106.8178575
Koridor 1,1,Blok M - Kota,SETIA BUDI,JL. JEND SUDIRMAN,2003,JPO BAJA / EKSISTING ( RAMP SEMUA ),,
Koridor 1,1,Blok M - Kota,DUKUH ATAS,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ),-6.2059064,106.8200355
Koridor 1,1,Blok M - Kota,TOSARI,JL. JEND SUDIRMAN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ),-6.2017573,106.8210011
Koridor 1,1,Blok M - Kota,BUNDARAN HI,JL. MH THAMRIN,2003,JPO BETON / EKSISTING ( TANGGA SEMUA ),,
Koridor 1,1,Blok M - Kota,SARINAH,JL. MH THAMRIN,2003,JPO BETON / EKSISTING ( TANGGA SEMUA ),-6.1898645,106.821677
Koridor 1,1,Blok M - Kota,BI,JL. MH THAMRIN,2003,JPO BETON / EKSISTING ( RAMP SEMUA ),-6.1838914,106.8217735
Koridor 1,1,Blok M - Kota,MONAS,JL. MERDEKA BARAT,2003,PELICAN,-6.1790381,106.8217843
